FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1495,E05009920,High Easter & the Rodings,,561220,214365,0.33696,51.80469,44217086.79,42605.03434,263fd4e3-2058-4508-ad0c-7ef91a973521
1496,E05009921,"Littlebury, Chesterford & Wenden Lofts",,548117,240414,0.158264,52.04235,67120707.51,55167.05007,a29e45a1-513d-41e5-b66d-da2432e5df56
1497,E05009922,Newport,,552646,233342,0.221097,51.97758,25734505.01,34914.17196,b5b7922b-528a-4cd3-8a68-c24bf3e4130b
1498,E05009923,Saffron Walden Audley,,553487,237106,0.235016,52.01117,6034144.729,14556.13839,7855fe4a-8833-474c-9f7b-d5bb9a300cb2
1499,E05009924,Saffron Walden Castle,,554391,239780,0.249383,52.03494,7545408.331,15122.28318,36a302a6-8135-42ab-a9e7-8895c6bfe798
1500,E05009925,Saffron Walden Shire,,554912,237175,0.255793,52.01139,3858515.023,12243.16932,034bcd8c-2cea-4398-a23d-f973e71fec8c
1501,E05009926,Stansted North,,551164,225748,0.196202,51.90976,7809235.047,14373.92678,1c7be259-09fb-4e65-987a-f9a8fdb41752
1502,E05009927,Stansted South & Birchanger,,552195,223307,0.210102,51.88755,11801438.31,16445.5125,bab75868-7e50-409b-a7bd-e8146efb560a
1503,E05009928,Stort Valley,,549270,227310,0.169365,51.92431,34714498.31,38435.3014,62bd0d0a-38c6-4ead-890a-9e1f9c1b4748
1504,E05009929,Takeley,,556783,225645,0.277775,51.90729,34393440.24,41892.03305,6a9a41a9-525f-4464-a089-3fd18c3c150c
1505,E05009931,The Sampfords,,562930,236212,0.37206,52.00045,59036153.49,45941.95333,8f33539a-deec-4fb0-b417-113073d4f16a
1506,E05009932,Bourne,,334377,443475,-2.99979,53.8833,3027809.15,10743.65642,89767d3c-0eed-4e2a-b090-97899e3359f0
1507,E05009933,Breck,,335540,439861,-2.98134,53.85097,2153829.817,7476.745529,175dc0f9-f79d-48f5-bd34-b04f97bf0ba0
1508,E05009934,Brock with Catterall,,350192,441465,-2.7589,53.867,34888359.65,39592.53564,0dd1ad4d-e37a-452b-8af9-247ec4bb5d98
1509,E05009935,Calder,,351609,445731,-2.73803,53.90548,20067328.17,25027.49491,3a446347-fa38-4a23-8de9-913be5796d0b
1510,E05009936,Carleton,,333849,440556,-3.00719,53.85701,2028781.968,6210.718616,dc0cdecd-81de-4b71-9609-69d856221430
1511,E05009937,Cleveleys Park,,332295,444022,-3.03158,53.88795,1541338.465,5492.575378,d96553af-75c2-462a-ae14-f6d27ff7baa7
1512,E05009938,Garstang,,348608,446506,-2.78383,53.91215,16044398.28,30441.29839,d95dfd6f-25c4-4362-afd1-086b15f82d86
1513,E05009939,Great Eccleston,,343333,442115,-2.86331,53.87214,55903718.58,71890.50334,47fb0494-80be-4f95-bda0-0f426a26206c
1514,E05009940,Hambleton & Stalmine,,337771,443394,-2.94815,53.883,15902675,39833.85766,c1d72c51-c8da-47ae-942b-3ff2efd15971
1515,E05009941,Hardhorn with High Cross,,334989,438202,-2.98936,53.836,4560557.122,11411.17449,47155879-34ca-4aa9-9b21-f201c7706dde
1516,E05009942,Jubilee,,331592,443554,-3.04217,53.88365,1101979.294,5873.237699,f7470049-e264-4924-b4b6-b8fa73595613
1517,E05009943,Marsh Mill,,333624,441959,-3.01092,53.86958,2017036.077,7174.443041,6475b66c-95cf-482f-99bf-75f552198f8a
1518,E05009944,Mount,,333132,446320,-3.01935,53.90871,4040671.027,18614.74613,73870c4e-080a-4ab0-98d5-ea53a750c933
1519,E05009945,Park,,332303,445916,-3.03188,53.90497,1382190.788,5842.957835,0053df27-806a-4a04-b706-57f594fc9589
1520,E05009946,Pharos,,333551,448040,-3.01335,53.92422,987085.4451,4118.777075,d611302a-51e0-4c9d-a4d4-8a73543c02c7
1521,E05009947,Pheasant's Wood,,333010,444243,-3.02075,53.89003,1039715.907,4720.281683,a82ae991-ce45-4a1b-865c-f94b022438cf
1522,E05009948,Pilling,,343024,446949,-2.86891,53.91555,35185777.13,60284.2483,444a5de1-06e1-4309-9357-8b28542f441e
1523,E05009949,Preesall,,336917,447891,-2.96207,53.9233,14503520.66,28152.38107,da3b10e7-7247-4a61-8ba2-2a3c02f9cbcc
1524,E05009950,Rossall,,331606,445853,-3.04247,53.90431,2264329.153,7367.625786,69559d80-6983-4ce3-8083-a24752b13921
1525,E05009951,Stanah,,335334,441848,-2.98489,53.8688,3556683.134,9243.094255,a30ca1be-be1f-4329-9211-92023ea84064
1526,E05009952,Tithebarn,,333986,439198,-3.00482,53.84482,1883463.266,7777.345127,c757d033-1be7-4dcb-8603-bb709b03ad14
1527,E05009953,Victoria & Norcross,,332759,442345,-3.02415,53.87294,1259373.058,7697.887483,3230c233-a37f-4599-bacc-be099e3cc8d4
